,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
1444,Triveni Laurel ,1652 Gauripada Mumbai Beyond Thane Mumbai,Gauripada Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1156,9083,15,2,2,105
1445,Unnamed Property,6542 Khadakpada Mumbai Beyond Thane Mumbai,Khadakpada Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1545,7896,9,3,3,122
1446,Kings Court by TCJ Realty ,1235 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1170,7008,3,2,2,82
1447,Tharwani Riverdale ,2356 Khadakpada Mumbai Beyond Thane Mumbai,Khadakpada Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1130,6637,2,2,2,75
1448,Mohan Highlands ,Katrap Mumbai Beyond Thane Mumbai,Katrap Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1330,4511,3,3,3,60
1449,Unnamed Property,secter 7 koparkhairne Navi Mumbai Mumbai,Koparkhairne Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,10476,0,2,2,110
1450,Deep Manohar Shreeji Nirvana ,Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,800,4625,1,2,2,37
1451,Satyam Paradise ,Katrap Mumbai Beyond Thane Mumbai,Katrap Mumbai,5 to 10 Year,Ready To Move,Built Up Area,875,4228,6,2,2,37
1452,Unnamed Property,1234 Tilak chowk Mumbai Beyond Thane Mumbai,Tilak Chowk Mumbai,1 to 5 Year,Ready To Move,Built Up Area,925,10270,6,2,2,95
1453,Unnamed Property,4532 Adharwadi Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,10+ Year,Ready To Move,Built Up Area,3000,5733,14,4,4,172
1454,Unnamed Property,Vile Parle East Mumbai South West Mumbai,Vile Parle Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1253,32162,10,3,3,403
1455,Maghnani Euphoria ,Near New Daily Mart Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,703,7611,1,1,2,53
1456,Unnamed Property,Near Ramseth Thakur Sports Complex Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000,7000,2,2,2,70
1457,Lodha Aurum Grande ,Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,795,26415,33,2,2,210
1458,Arkade Earth ,Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1122,17647,19,2,2,198
1459,Kanakia Hollywood ,Versova Mumbai,Versova Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1550,46774,15,4,4,725
1460,Unnamed Property,Bandra East Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,380,27631,3,1,1,105
1461,Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Carpet Area,850,14117,7,2,3,120
1462,Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,625,9600,1,1,2,60
1463,Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Carpet Area,580,14655,4,2,2,85
1464,Evershine Avenue ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,980,4285,1,2,2,42
1465,Agarwal Solitaire ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,625,5365,6,1,2,33
1466,Vishwa Hans ,602 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,822,14233,8,2,2,117
1467,Vijay Vilas ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,935,9411,7,2,2,88
1468,Unnamed Property,501 Bhandup Village Road Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,540,15740,5,1,2,85
1469,Unnamed Property,Bhandup East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,435,18390,6,1,1,80
1470,Orovia Phase 1 ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,880,15340,15,3,3,135
1471,Trishul Symphony ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2000,8700,12,3,3,174
1472,Rachna Mangala Residency ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1250,6400,16,2,2,80
1473,Unnamed Property,Dombivli West Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Built Up Area,960,8645,5,2,2,83
1474,Agarwal Lifestyle ,603 Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,710,4987,6,1,2,35
1475,Bhairaav Gold Crest Residency ,102 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,693,12987,10,1,1,90
1476,Mahavir Kanti Pride ,Vasai East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,370,10810,2,1,1,40
1477,Unnamed Property,Pokhran 2 Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,400,18000,4,1,1,72
1478,Goodwill Gardens ,Sector 8 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,950,11052,1,2,2,105
1479,Siddharth Geetanjali Sujay ,002 Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,2400,14125,6,6,6,339
1480,Siddharth Geetanjali Sujay ,001 Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615,15130,9,3,3,174
1481,B Chopda Oval Apartments ,000 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1630,10490,9,3,3,171
1482,B Chopda Oval Apartments ,000 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,3200,10281,28,6,6,329
1483,DSS Mahavir Classik ,Mahavir Classik Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,850,15883,8,1,2,135
1484,DSS Mahavir Classik ,Flat No 701 And 702 C Wing Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500,18334,7,4,4,295
1485,Swaraj Symphony ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,640,8125,1,1,1,52
1486,Prachi Residency ,304 Badlapur Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Carpet Area,480,6875,3,2,2,33
1487,Wadhawa The Nest ,111 DN Nagar Mumbai,Dn Nagar,0 to 1 Year,Ready To Move,Carpet Area,1330,39849,2,3,4,530
1488,Lodha Fiorenza ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,887,33483,18,2,2,297
1489,Raj Shreeji Iconic ,Near Panvel Highway Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Built Up Area,575,4608,3,1,1,26
1490,Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,957,29153,21,2,2,279
1491,Panvelkar Estate ,003 Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,575,3086,0,1,1,17
1492,Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,956,30020,31,2,2,287
1493,Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1395,19713,26,2,2,275
1494,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1400,8857,9,3,3,124
1495,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891,7126,7,2,2,63
1496,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891,6930,3,2,2,61
1497,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891,6228,10,2,2,55
1498,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1678,7508,32,4,4,126
1499,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891,7239,14,2,2,64
1500,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1690,5147,19,3,3,87
1501,Unnamed Property,Chikuwadi Mumbai,Chikuwadi Mumbai,10+ Year,Ready To Move,Carpet Area,600,25833,7,2,2,155
1502,Unnamed Property,001 Shirgaon Mumbai Beyond Thane Mumbai,Shirgaon Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,600,3500,0,1,1,21
1503,Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1570,12738,3,3,3,200
1504,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,890,11797,14,2,2,105
1505,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1000,10700,9,2,2,107
1506,Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1570,12101,7,3,3,190
1507,SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,898,30623,2,3,2,275
1508,Ajmera New Era ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,711,7735,11,1,2,55
1509,Raj Tulsi City ,Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,615,3577,4,1,1,22
1510,SD Epsilon Tower ,W E Highway kandivali East Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Super Built Up Area,1280,18750,29,2,2,240
1511,SD Epsilon Tower ,W E Highway kandivali East Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Super Built Up Area,1050,20000,29,2,2,210
1512,Marathon Galaxy ,Moti Nagar Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,900,31666,3,3,3,285
1513,Runwal Greens ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,1240,23387,31,3,3,290
1514,Nirmal Lifestyle Residency CHS ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,850,21764,14,2,2,185
1515,Runwal Greens ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,1382,21345,37,3,3,295
1516,L and T Crescent Bay ,Parel South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1402,38018,20,2,2,330
1517,Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1200,11666,25,2,2,140
1518,Unnamed Property,3333 Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,850,8823,23,1,2,75
1519,Siddhi Highland Gardens ,1111 Dhokali Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,710,10845,3,1,2,77
1520,Unnamed Property,2222 Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1850,9729,20,4,3,180
1521,Everest World Aspen ,222 Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1050,10952,11,2,2,115
1522,Sheth Avalon ,A 110 Laxmi Nagar Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1299,13163,14,2,2,171
1523,Omkar Alta Monte ,Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,920,26086,20,2,2,240
1524,Ashar Sapphire And Galleria ,1111 Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250,24210,26,3,3,230
1525,Unnamed Property,1111 Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1450,12068,15,3,2,175
1526,Lodha Luxuria ,Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1220,11065,22,2,2,135
1527,Veena Senterio ,Chembur East Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,440,26363,12,1,2,116
1528,Neelkanth Greens ,2 5bhk Very Luxurious Property For Sell Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1300,14615,19,3,2,190
1529,Unnamed Property,Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,777,43758,7,2,2,340
1530,Unnamed Property,2bhk Very Spacious Flat Available For Sell Close Viviana Mall khopat Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,1040,12500,9,2,2,130
1531,Monte South ,Byculla Byculla Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1201,47044,18,3,3,565
1532,Gala Pride Presidency Luxuria ,Kailash Nagar Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,760,11052,18,1,1,84
1533,Runwal Eirene ,1bhk Very Spacious New Brand Property Available For Sell Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,665,11278,9,1,2,75
1534,Oberoi Exquisite ,Oberoi Exquisite Oberoi International School nr Oberoi Mall Film City Rd goregaon East mum 400063 Goregaon East Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1690,30917,7,3,3,522
1535,Oberoi Splendor ,Oberoi Splendor Nr Oberoi International School Jvlr Andheri East Mumbai 400060 Jogeshwari East Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1377,24183,26,3,2,333
1536,Unnamed Property,Parel South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,410,36585,9,1,2,150
1537,Unnamed Property,Sector 23 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,680,8382,1,2,2,57
1538,Bhagwati Bellavista 2 ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,690,7246,2,1,2,50
1539,Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,1180,8898,12,3,3,105
1540,Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,650,13076,7,2,2,85
1541,Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Built Up Area,1004,12051,17,2,2,121
1542,Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,635,8661,4,1,2,55
1543,Unnamed Property,Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000,8000,2,2,2,80
1544,Lokhandwala Riviera Tower ,Lokhandwala Kandivali East Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Super Built Up Area,1000,16700,20,2,2,167
1545,Acme Ozone ,Near Khewara Circle Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1100,11500,23,2,2,130
1546,Unnamed Property,Shirley Rajan Road Bandra West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,600,50000,1,1,2,300
1547,Unnamed Property,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,700,17857,9,2,2,125
1548,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1427,13314,24,2,2,190
1549,Hiranandani Silver Link ,Silverlink Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,450,20444,2,1,2,92
1550,JP North Celeste ,123 Vinay Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,700,9285,2,1,2,65
1551,Nahar Lilium Lantana ,Andheri East Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1250,18720,21,2,2,234
1552,Paradigm EL Signora ,Oshiwara Mumbai,Oshiwara Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,850,26117,7,2,2,222
1553,Unnamed Property,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1978,55611,5,4,3,1100
1554,Satyam Imperial Heights ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,2400,23125,39,4,4,555
1555,White City ,Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,460,26086,9,1,2,120
1556,Lodha Fiorenza ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Carpet Area,11986,3170,22,3,3,380
1557,Unnamed Property,Sector 36 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,565,12389,1,1,1,70
1558,Bhakti Aura ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,670,8955,5,1,1,60
1559,Satelite Royal ,Goregaon East Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,20476,15,2,2,215
1560,JP Decks ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1290,15891,8,2,2,205
1561,Om Sai Riddhi Siddhi Regency ,Sector 22 Kamothe Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000,8500,3,2,2,85
1562,Unnamed Property,1402 Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,1490,20134,14,3,3,300
1563,Godrej Emerald ,Ghodbunder Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,760,15789,10,2,2,120
1564,One Hiranandani Park ,Hiranandani Estate Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,559,27728,12,2,2,155
1565,Godrej Emerald ,Ghodbunder Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,560,14821,21,2,2,83
1566,Puraniks Aarambh ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,600,12166,11,2,2,73
1567,Unnamed Property,Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,443,13544,15,1,2,60
1568,Bhakti Park ,Sai Nagar Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,645,8527,2,1,1,55
1569,Unnamed Property,2202 Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,1490,20805,22,3,3,310
1570,Unnamed Property,Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,1340,18656,10,3,3,250
1571,Aashapura Crown City ,403 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,874,6864,4,2,2,60
1572,Godrej Hill ,201 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,10+ Year,Ready To Move,Super Built Up Area,585,5726,2,1,1,33
1573,Raunak City 2 ,201 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1000,6000,2,2,2,60
1574,Unnamed Property,404 Adharwadi Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,1 to 5 Year,Ready To Move,Carpet Area,730,11095,4,2,2,81
1575,Triveni Majesta ,203 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Built Up Area,1250,10240,5,2,2,128
1576,Unnamed Property,403 Wayle Nagar Mumbai Beyond Thane Mumbai,Wayle Nagar,5 to 10 Year,Ready To Move,Carpet Area,450,10444,4,1,1,47
1577,Laxmi Om Tanishq Residency ,101 Adharwadi Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,0 to 1 Year,Ready To Move,Built Up Area,675,5200,1,1,1,35
1578,Laxmi Om Tanishq Residency ,102 Adharwadi Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1060,5200,1,2,2,55
1579,Peninsula Celestia Spaces ,Parel South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1233,39334,16,3,3,485
1580,Peninsula Celestia Spaces ,Parel South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,866,43879,32,2,2,380
1581,Dweepmala Baline Dwellings ,Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,770,11086,2,1,2,51
1582,Platinum Palacio ,Sector 23 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,665,8307,5,1,1,54
1583,Paradise Sai Sapphire ,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1120,7727,5,2,2,85
1584,Mahaavir Heights ,Sector 17 Roadpali Navi Mumbai Roadpali Navi Mumbai Mumbai,Roadpali Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675,8592,14,1,1,58
1585,Vaishnavi Bhawan ,Ghodbunder Road Owale Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,453,9713,3,1,1,44
1586,Lodha Kiara ,Worli South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1701,58788,11,4,5,1000
1587,Unnamed Property,Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,2200,11363,11,4,4,250
1588,Lodha The Park ,Worli South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1450,60000,59,3,4,730
1589,Sai Satyam Residency ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Built Up Area,670,5671,5,1,2,38
1590,Triveni Ultima Bliss ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,1545,7766,18,3,4,120
1591,Unnamed Property,804 Chikhal Dongari Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,650,4384,10,1,2,28
1592,Unnamed Property,Mazgaon Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Carpet Area,425,37647,6,1,2,160
1593,Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,550,10909,2,1,1,60
1594,Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,625,12480,3,1,1,78
1595,Unnamed Property,Mazgaon Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Carpet Area,400,41250,5,1,1,165
1596,Aristo Pearl Residency ,Prabhadevi South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1510,34437,5,2,2,520
1597,Unnamed Property,Panchpakhadi Thane West Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,700,17857,1,1,2,125
1598,Space India Vishesh Homes ,111 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,640,7578,4,1,1,48
1599,Hiranandani Rodas Enclave ,Hiranandani Estate Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,1352,24408,15,3,3,330
1600,Reliable Balaji Shrishti ,Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1090,7706,6,2,2,84
1601,Ronak Residency ,Roadpali Navi Mumbai Mumbai,Roadpali Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,984,7113,6,2,2,70
1602,Shree Shivankar CHS ,Matunga South Mumbai Mumbai,Matunga Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1030,53398,6,2,2,550
1603,Raunak City 2 ,1405 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,607,6013,14,1,1,36
1604,Haware Green Park ,111 Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,980,5612,0,2,2,55
1605,Hiranandani Eagleridge ,Hiranandani Estate Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,1093,28270,23,3,3,309
1606,Infinity Avenue ,Sector 8 Ulwe Navi Mumbai 410206 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1000,7000,1,2,2,70
1607,Progressives Meera Aangan ,Sector 2 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1700,10294,7,3,3,175
1608,Unnamed Property,101 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,6676,4,2,2,70
1609,Runwal Forests ,3003 Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1075,18139,32,2,2,195
