,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
203,Sagar Mahal ,Opposite Gopi Birla School And Sheetal Baug Walkeshwar South Mumbai Mumbai,Walkeshwar Mumbai,10+ Year,Ready To Move,Built Up Area,2450,67350,9,4,5,1650
204,Bharat Shiv Sai Paradise ,C1201 Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,618,13268,12,1,1,82
205,Unnamed Property,Shivaji Nagar Shivaji Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,195,9230,2,1,1,18
206,SRK Solitaire ,Sector 18 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1750,17551,6,3,3,215
207,AO Realty Bianca ,Flat No 1001 Andheri East Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1010,28712,10,3,3,290
208,Unnamed Property,Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,1100,29545,5,3,3,325
209,Virat Green Avenue ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,722,9279,2,2,2,67
210,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,725,7310,4,1,1,53
211,Lodha Lakeshore Greens ,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,673,10401,8,2,2,70
212,Unnamed Property,Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1105,20361,2,2,2,225
213,SRP Krish Residency ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,430,7674,3,1,1,33
214,Unnamed Property,Kanjur Marg West LBS Marg Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,982,23421,10,3,3,230
215,Vissanji Park ,9 a Lokmanya Tilak Colony South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,775,45161,3,1,1,350
216,Kanakia Rainforest ,Marol Mumbai,Marol Mumbai,1 to 5 Year,Ready To Move,Carpet Area,43,391705,2,1,2,170
217,Unnamed Property,501 Grant Road East South Mumbai Mumbai,South Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1017,26548,5,2,2,250
218,Lodha Palava City ,F 6 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,305,7540,0,1,1,23
219,Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,585,14358,2,1,1,84
220,Lodha Palava City ,Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,723,8298,6,2,2,60
221,Shree Chamunda Dham ,301 Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,800,9687,3,2,2,77
222,Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Built Up Area,1205,8215,4,3,3,99
223,Silver Crest CHS ,Raheja Vihar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1000,19000,3,2,2,190
224,Samartha Aangan ,Lokhandwala Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Super Built Up Area,1550,32903,18,3,3,510
225,Jewel Arista ,Badlapur W Sonivali Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,685,3650,4,1,1,25
226,Unnamed Property,Dheeraj Jamuna Chs Chincholi Bunder Road MaladWest Chincholi Bunder Road Mumbai,Malad Mumbai,10+ Year,Ready To Move,Built Up Area,570,17544,14,1,2,110
227,Unnamed Property,Borivali East Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Super Built Up Area,1300,23000,1,3,3,299
228,Unnamed Property,Malad East Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,436,18348,7,1,2,80
